,NR_experienced_on_request,no_of_supercats_tried_last_30d,no_of_supercats_tried_last_90d,no_of_supercats_tried_last_365d,no_of_deliveries_last_30d,no_of_deliveries_last_90d,no_of_deliveries_last_365d,service_deliverd_aov_last_30d,service_deliverd_aov_last_90d,service_deliverd_aov_last_365d,most_deliverd_supercat,income_segment,gender,user_state_platform,days_on_platform,NR_experienced_last_365d,revenues_next_6_months,request_id
136409,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Salon at Home,,Female,NEW CHURN,448.0,1.0,798.0,021c4923-23c8-4e8a-b681-6721a6ac71cf
178887,0,1.0,1.0,3.0,1.0,1.0,9.0,648.0,648.0,1378.888888888889,Salon at Home,,Female,RESURRECTED,1333.0,0.0,18613.0,5bc9226d-6ad3-4026-b8f4-9fd99b8d090f
187479,0,0.0,1.0,1.0,0.0,1.0,3.0,,1016.0,1546.6666666666667,Salon at Home,,Male,RESURRECTED,468.0,0.0,6146.0,ae110cb6-3253-4d2b-be52-6c85b25ce3aa
99364,1,0.0,1.0,1.0,0.0,1.0,5.0,,648.0,678.0,Mens Grooming,,Male,ENGAGED,253.0,1.0,2102.0,cee33390-f255-4420-a11d-845411d1c42f
41556,1,,,,,,,,,,,,Male,,,0.0,448.0,0a755769-f12d-4213-9854-798a600b22c8
89062,1,0.0,1.0,1.0,0.0,1.0,3.0,,808.0,1084.3333333333333,Salon at Home,,Female,RESURRECTED,1050.0,5.0,6785.0,b8207886-827a-446a-829a-8d19ba0eca82
179831,0,3.0,4.0,4.0,4.0,12.0,16.0,1485.5,1164.6666666666667,1210.5,Massage for Men,,Female,ENGAGED,205.0,0.0,21001.0,4ba974d2-a1a7-4344-86d3-d8f8f94ae420
166047,0,,,,,,,,,,,,Male,,,0.0,11111.0,94d14fb6-a9cd-4427-ac01-13380cb33121
102567,0,,,,,,,,,,,,Unknown,,,0.0,848.0,4229cb5b-6875-4ef0-8b45-ee02e5f0e7d8
11736,1,,,,,,,,,,,,Male,,,0.0,,dac7cb86-a250-46f4-acf4-d9d785ff801d
114780,0,1.0,1.0,3.0,1.0,2.0,8.0,1178.0,1455.5,1287.25,Salon at Home,25lac +,Female,ENGAGED,2076.0,0.0,1686.0,c38201d2-e546-4c1d-982e-1c7f47d0acea
54774,1,0.0,1.0,7.0,0.0,1.0,13.0,,798.0,1239.7692307692307,EPC,,Male,ENGAGED,1160.0,0.0,3053.0,f57a7f1d-652e-4d5f-9403-f2ddfea4829d
83323,1,0.0,0.0,2.0,0.0,0.0,3.0,,,1039.0,SKBC,,Male,DORMANT,876.0,0.0,4444.0,2c8ab58e-3b9c-4cbe-9211-e3d8c5c9a19d
52363,1,0.0,1.0,2.0,0.0,5.0,8.0,,1017.2,1000.25,Salon at Home,,Female,ENGAGED,2098.0,0.0,17611.0,7700e275-a3ff-4bbd-bf7a-0f3cb4ce3bb4
17862,1,0.0,1.0,3.0,0.0,2.0,8.0,,2220.5,1961.25,Salon at Home,25lac +,Female,ENGAGED,963.0,0.0,13671.0,523c1cca-1606-497c-b823-e48c2c698ebd
101524,0,1.0,2.0,5.0,2.0,7.0,22.0,1015.0,724.0,757.4090909090909,Salon at Home,,Female,ENGAGED,1166.0,0.0,14079.0,9f135c35-f388-4493-9497-672a6c37c2b3
93003,1,1.0,3.0,4.0,1.0,6.0,12.0,598.0,1061.0,1341.9166666666667,Salon at Home,,Male,ENGAGED,1263.0,1.0,6005.0,b3178f92-9ef9-4a4c-b9dd-f76afe2e26b8
143496,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,EPC,25lac +,Male,CHURN,1113.0,0.0,2284.0,35e6b65f-8a34-4f0c-a08b-ae301162c89f
26775,1,0.0,0.0,1.0,0.0,0.0,1.0,,,1648.0,Large Appliances,,Male,CHURN,1149.0,0.0,,d6232648-6b79-4b46-8d79-cffbcfe6179f
